Entity,Code,GDP per capita (constant 2015 US$)
Trinidad and Tobago,TTO,16192.3232421875
Tunisia,TUN,4206.9541015625
Turkey,TUR,11955.43359375
Turkmenistan,TKM,7692.57861328125
Turks and Caicos Islands,TCA,28693.0625
Tuvalu,TUV,3674.35400390625
Uganda,UGA,894.5203857421875
Ukraine,UKR,2425.634521484375
United Arab Emirates,ARE,40438.33984375
United Kingdom,GBR,47750.87890625
United States,USA,60836.76953125
United States Virgin Islands,VIR,35961.58203125
Uruguay,URY,16036.296875
Uzbekistan,UZB,3161.415283203125
Vanuatu,VUT,2900.488037109375
Vietnam,VNM,2604.22412109375
World,OWID_WRL,11012.9228515625
Zambia,ZMB,1348.7384033203125
Zimbabwe,ZWE,1414.8291015625
