Entity,Code,Year,"GDP (output, multiple price benchmarks)",GDP per capita (constant 2015 US$),Life_expectancy
Moldova,MDA,2019,38162604000,3435.4775390625,70.9
Mongolia,MNG,2019,38380400000,4394.98828125,71.8
Montenegro,MNE,2019,13721467000,7680.7412109375,77.0
Morocco,MAR,2019,288999740000,3044.90625,74.3
Mozambique,MOZ,2019,37315924000,598.8132934570312,61.2
Myanmar,MMR,2019,278516300000,1548.4566650390625,66.6
Namibia,NAM,2019,23331656000,4506.173828125,63.1
Nepal,NPL,2019,103878740000,1069.7890625,69.6
Netherlands,NLD,2019,950077950000,48443.73046875,82.0
New Zealand,NZL,2019,198604600000,40315.47265625,82.6
Nicaragua,NIC,2019,32886407000,1984.8167724609373,74.1
Niger,NER,2019,28226435000,523.8842163085938,62.9
Nigeria,NGA,2019,1001537340000,2502.65234375,52.9
North Macedonia,MKD,2019,32876157000,5386.2001953125,77.3
Norway,NOR,2019,396253900000,76005.2265625,83.0
Oman,OMN,2019,152847930000,16694.1328125,78.0
Pakistan,PAK,2019,1088502500000,1489.653564453125,66.8
Palestine,PSE,2019,36793782000,3378.4345703125,75.2
Panama,PAN,2019,126883185000,15073.0009765625,77.8
Paraguay,PRY,2019,86788555000,5774.166015625,73.6
Peru,PER,2019,397821020000,6611.49267578125,76.2
Philippines,PHL,2019,913426800000,3664.790771484375,71.9
Poland,POL,2019,1211846200000,15016.6728515625,77.9
Portugal,PRT,2019,325160040000,21617.412109375,81.7
Qatar,QAT,2019,323141140000,59098.52734375,81.0
Romania,ROU,2019,540045740000,11221.7080078125,76.5
Russia,RUS,2019,4161194400000,9942.3740234375,73.9
Rwanda,RWA,2019,28783219000,885.599609375,66.4
Saint Kitts and Nevis,KNA,2019,1211703600,21516.798828125,71.6
Saint Lucia,LCA,2019,2602488600,10914.5029296875,73.4
Saint Vincent and the Grenadines,VCT,2019,1227714300,7219.89208984375,72.8
Sao Tome and Principe,STP,2019,813934700,1672.8961181640625,68.5
Saudi Arabia,SAU,2019,1775962400000,19801.875,77.3
Senegal,SEN,2019,52927870000,1381.601806640625,68.5
Serbia,SRB,2019,120447670000,6567.90966796875,76.7
Seychelles,SYC,2019,2715498500,15913.9501953125,74.2
Sierra Leone,SLE,2019,14651260000,649.7603149414062,60.3
Singapore,SGP,2019,477907880000,61173.90625,83.8
Slovakia,SVK,2019,149921430000,18167.484375,77.7
Slovenia,SVN,2019,70868520000,24071.283203125,81.6
South Africa,ZAF,2019,734094360000,6125.7353515625,66.2
South Korea,KOR,2019,2162705300000,31640.21484375,83.7
Spain,ESP,2019,1886595200000,28101.52734375,83.5
Sri Lanka,LKA,2019,283395000000,4225.1064453125,76.0
Sudan,SDN,2019,181135740000,1198.517822265625,65.9
Suriname,SUR,2019,8418678000,9035.197265625,72.2
Sweden,SWE,2019,526240800000,53490.3515625,83.1
Switzerland,CHE,2019,646919600000,88413.1953125,83.8
Syria,SYR,2019,123085005000,952.8848876953124,71.8
Tajikistan,TJK,2019,36293750000,1174.0916748046875,70.9
Tanzania,TZA,2019,132986660000,1071.35009765625,67.0
Thailand,THA,2019,1191732800000,6617.54296875,79.0
Togo,TGO,2019,18065920000,630.79052734375,60.9
Trinidad and Tobago,TTO,2019,39956836000,16192.3232421875,74.2
Tunisia,TUN,2019,129698920000,4206.9541015625,76.0
Turkey,TUR,2019,2248225800000,11955.43359375,77.8
Turkmenistan,TKM,2019,154648990000,7692.57861328125,69.0
Turks and Caicos Islands,TCA,2019,611123700,28693.0625,75.3
Uganda,UGA,2019,92618600000,894.5203857421875,63.0
Ukraine,UKR,2019,578290500000,2425.634521484375,74.5
United Arab Emirates,ARE,2019,645956240000,40438.33984375,79.7
United Kingdom,GBR,2019,2989895500000,47750.87890625,81.7
United States,USA,2019,20595845000000,60836.76953125,79.1
Uruguay,URY,2019,71122790000,16036.296875,77.5
Uzbekistan,UZB,2019,414768460000,3161.415283203125,71.3
Vietnam,VNM,2019,724123400000,2604.22412109375,74.1
Zambia,ZMB,2019,56783716000,1348.7384033203125,62.8
Zimbabwe,ZWE,2019,40826570000,1414.8291015625,61.3
